,filename,additions,deletions,changes,date
0,docs/upgrade.html,91,30,121,"Oct 13, 2023"
1,connect/mirror/src/main/java/org/apache/kafka/connect/mirror/MirrorUtils.java,9,0,9,"Oct 13, 2023"
2,connect/mirror/src/test/java/org/apache/kafka/connect/mirror/MirrorUtilsTest.java,60,4,64,"Oct 13, 2023"
3,docs/documentation.html,3,1,4,"Oct 12, 2023"
4,connect/runtime/src/test/java/org/apache/kafka/connect/storage/MemoryConfigBackingStoreTest.java,185,0,185,"Oct 12, 2023"
5,streams/src/main/java/org/apache/kafka/streams/kstream/Aggregator.java,12,7,19,"Oct 16, 2023"
6,streams/src/main/java/org/apache/kafka/streams/kstream/Branched.java,62,45,107,"Oct 16, 2023"
7,streams/src/main/java/org/apache/kafka/streams/kstream/BranchedKStream.java,23,15,38,"Oct 16, 2023"
8,LICENSE-binary,2,2,4,"Oct 12, 2023"
9,gradle/dependencies.gradle,1,1,2,"Oct 12, 2023"
10,docs/ops.html,75,7,82,"Oct 17, 2023"
11,docs/toc.html,1,1,2,"Oct 17, 2023"
12,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/entities/TaskInfo.java,3,1,4,"Oct 14, 2023"
13,connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/resources/ConnectorsResource.java,3,1,4,"Oct 14, 2023"
14,connect/runtime/src/test/java/org/apache/kafka/connect/integration/ConnectWorkerIntegrationTest.java,41,4,45,"Oct 14, 2023"
15,connect/runtime/src/test/java/org/apache/kafka/connect/util/clusters/EmbeddedConnectCluster.java,6,5,11,"Oct 14, 2023"
16,docs/connect.html,2,1,3,"Oct 14, 2023"
17,streams/src/main/java/org/apache/kafka/streams/KafkaStreams.java,25,15,40,"Oct 16, 2023"
18,streams/src/main/java/org/apache/kafka/streams/KeyQueryMetadata.java,3,3,6,"Oct 16, 2023"
19,streams/src/main/java/org/apache/kafka/streams/KeyValue.java,1,1,2,"Oct 16, 2023"
20,streams/src/main/java/org/apache/kafka/streams/StoreQueryParameters.java,1,1,2,"Oct 16, 2023"
21,streams/src/main/java/org/apache/kafka/streams/StreamsBuilder.java,4,4,8,"Oct 16, 2023"
22,streams/src/main/java/org/apache/kafka/streams/StreamsConfig.java,17,20,37,"Oct 16, 2023"
23,streams/src/main/java/org/apache/kafka/streams/StreamsMetadata.java,2,2,4,"Oct 16, 2023"
24,streams/src/main/java/org/apache/kafka/streams/StreamsMetrics.java,4,4,8,"Oct 16, 2023"
25,streams/src/main/java/org/apache/kafka/streams/Topology.java,1,1,2,"Oct 16, 2023"
26,streams/src/main/java/org/apache/kafka/streams/TopologyConfig.java,1,1,2,"Oct 16, 2023"
27,streams/src/main/java/org/apache/kafka/streams/KafkaStreams.java,11,0,11,"Oct 11, 2023"
28,streams/src/test/java/org/apache/kafka/streams/integration/RestoreIntegrationTest.java,203,4,207,"Oct 11, 2023"
